year,win_pct,Team
2013,0.625,Cardinals
2014,0.6875,Cardinals
2015,0.8125,Cardinals
2016,0.46875,Cardinals
2017,0.5,Cardinals
2018,0.1875,Cardinals
2019,0.34375,Cardinals
2020,0.5,Cardinals
2021,0.6470588235294118,Cardinals
2022,0.23529411764705882,Cardinals
2023,0.23529411764705882,Cardinals
2024,0.47058823529411764,Cardinals
2013,0.25,Falcons
2014,0.375,Falcons
2015,0.5,Falcons
2016,0.6875,Falcons
2017,0.625,Falcons
2018,0.4375,Falcons
2019,0.4375,Falcons
2020,0.25,Falcons
2021,0.4117647058823529,Falcons
2022,0.4117647058823529,Falcons
2023,0.4117647058823529,Falcons
2024,0.47058823529411764,Falcons
2013,0.5,Ravens
2014,0.625,Ravens
2015,0.3125,Ravens
2016,0.5,Ravens
2017,0.5625,Ravens
2018,0.625,Ravens
2019,0.875,Ravens
2020,0.6875,Ravens
2021,0.47058823529411764,Ravens
2022,0.5882352941176471,Ravens
2023,0.7647058823529411,Ravens
2024,0.7058823529411765,Ravens
2013,0.375,Bills
2014,0.5625,Bills
2015,0.5,Bills
2016,0.4375,Bills
2017,0.5625,Bills
2018,0.375,Bills
2019,0.625,Bills
2020,0.8125,Bills
2021,0.6470588235294118,Bills
2022,0.8125,Bills
2023,0.6470588235294118,Bills
2024,0.7647058823529411,Bills
2013,0.75,Panthers
2014,0.46875,Panthers
2015,0.9375,Panthers
2016,0.375,Panthers
2017,0.6875,Panthers
2018,0.4375,Panthers
2019,0.3125,Panthers
2020,0.3125,Panthers
2021,0.29411764705882354,Panthers
2022,0.4117647058823529,Panthers
2023,0.11764705882352941,Panthers
2024,0.29411764705882354,Panthers
2013,0.5,Bears
2014,0.3125,Bears
2015,0.375,Bears
2016,0.1875,Bears
2017,0.3125,Bears
2018,0.75,Bears
2019,0.5,Bears
2020,0.5,Bears
2021,0.35294117647058826,Bears
2022,0.17647058823529413,Bears
2023,0.4117647058823529,Bears
2024,0.29411764705882354,Bears
2013,0.6875,Bengals
2014,0.65625,Bengals
2015,0.75,Bengals
2016,0.40625,Bengals
2017,0.4375,Bengals
2018,0.375,Bengals
2019,0.125,Bengals
2020,0.28125,Bengals
2021,0.5882352941176471,Bengals
2022,0.75,Bengals
2023,0.5294117647058824,Bengals
2024,0.5294117647058824,Bengals
2013,0.25,Browns
2014,0.4375,Browns
2015,0.1875,Browns
2016,0.0625,Browns
2017,0.0,Browns
2018,0.46875,Browns
2019,0.375,Browns
2020,0.6875,Browns
2021,0.47058823529411764,Browns
2022,0.4117647058823529,Browns
2023,0.6470588235294118,Browns
2024,0.17647058823529413,Browns
2013,0.5,Cowboys
2014,0.75,Cowboys
2015,0.25,Cowboys
2016,0.8125,Cowboys
2017,0.5625,Cowboys
2018,0.625,Cowboys
2019,0.5,Cowboys
2020,0.375,Cowboys
2021,0.7058823529411765,Cowboys
2022,0.7058823529411765,Cowboys
2023,0.7058823529411765,Cowboys
2024,0.4117647058823529,Cowboys
2013,0.8125,Broncos
2014,0.75,Broncos
2015,0.75,Broncos
2016,0.5625,Broncos
2017,0.3125,Broncos
2018,0.375,Broncos
2019,0.4375,Broncos
2020,0.3125,Broncos
2021,0.4117647058823529,Broncos
2022,0.29411764705882354,Broncos
2023,0.47058823529411764,Broncos
2024,0.5882352941176471,Broncos
2013,0.4375,Lions
2014,0.6875,Lions
2015,0.4375,Lions
2016,0.5625,Lions
2017,0.5625,Lions
2018,0.375,Lions
2019,0.21875,Lions
2020,0.3125,Lions
2021,0.20588235294117646,Lions
2022,0.5294117647058824,Lions
2023,0.7058823529411765,Lions
2024,0.8823529411764706,Lions
2013,0.53125,Packers
2014,0.75,Packers
2015,0.625,Packers
2016,0.625,Packers
2017,0.4375,Packers
2018,0.40625,Packers
2019,0.8125,Packers
2020,0.8125,Packers
2021,0.7647058823529411,Packers
2022,0.47058823529411764,Packers
2023,0.5294117647058824,Packers
2024,0.6470588235294118,Packers
2013,0.125,Texans
2014,0.5625,Texans
2015,0.5625,Texans
2016,0.5625,Texans
2017,0.25,Texans
2018,0.6875,Texans
2019,0.625,Texans
2020,0.25,Texans
2021,0.23529411764705882,Texans
2022,0.20588235294117646,Texans
2023,0.5882352941176471,Texans
2024,0.5882352941176471,Texans
2013,0.6875,Colts
2014,0.6875,Colts
2015,0.5,Colts
2016,0.5,Colts
2017,0.25,Colts
2018,0.625,Colts
2019,0.4375,Colts
2020,0.6875,Colts
2021,0.5294117647058824,Colts
2022,0.2647058823529412,Colts
2023,0.5294117647058824,Colts
2024,0.47058823529411764,Colts
2013,0.25,Jaguars
2014,0.1875,Jaguars
2015,0.3125,Jaguars
2016,0.1875,Jaguars
2017,0.625,Jaguars
2018,0.3125,Jaguars
2019,0.375,Jaguars
2020,0.0625,Jaguars
2021,0.17647058823529413,Jaguars
2022,0.5294117647058824,Jaguars
2023,0.5294117647058824,Jaguars
2024,0.23529411764705882,Jaguars
2013,0.6875,Chiefs
2014,0.5625,Chiefs
2015,0.6875,Chiefs
2016,0.75,Chiefs
2017,0.625,Chiefs
2018,0.75,Chiefs
2019,0.75,Chiefs
2020,0.875,Chiefs
2021,0.7058823529411765,Chiefs
2022,0.8235294117647058,Chiefs
2023,0.6470588235294118,Chiefs
2024,0.8823529411764706,Chiefs
2016,0.25,Rams
2017,0.6875,Rams
2018,0.8125,Rams
2019,0.5625,Rams
2020,0.625,Rams
2021,0.7058823529411765,Rams
2022,0.29411764705882354,Rams
2023,0.5882352941176471,Rams
2024,0.5882352941176471,Rams
2017,0.5625,Chargers
2018,0.75,Chargers
2019,0.3125,Chargers
2020,0.4375,Chargers
2021,0.5294117647058824,Chargers
2022,0.5882352941176471,Chargers
2023,0.29411764705882354,Chargers
2024,0.6470588235294118,Chargers
2020,0.5,Raiders
2021,0.5882352941176471,Raiders
2022,0.35294117647058826,Raiders
2023,0.47058823529411764,Raiders
2024,0.23529411764705882,Raiders
2013,0.5,Dolphins
2014,0.5,Dolphins
2015,0.375,Dolphins
2016,0.625,Dolphins
2017,0.375,Dolphins
2018,0.4375,Dolphins
2019,0.3125,Dolphins
2020,0.625,Dolphins
2021,0.5294117647058824,Dolphins
2022,0.5294117647058824,Dolphins
2023,0.6470588235294118,Dolphins
2024,0.47058823529411764,Dolphins
2013,0.34375,Vikings
2014,0.4375,Vikings
2015,0.6875,Vikings
2016,0.5,Vikings
2017,0.8125,Vikings
2018,0.53125,Vikings
2019,0.625,Vikings
2020,0.4375,Vikings
2021,0.47058823529411764,Vikings
2022,0.7647058823529411,Vikings
2023,0.4117647058823529,Vikings
2024,0.8235294117647058,Vikings
2013,0.75,Patriots
2014,0.75,Patriots
2015,0.75,Patriots
2016,0.875,Patriots
2017,0.8125,Patriots
2018,0.6875,Patriots
2019,0.75,Patriots
2020,0.4375,Patriots
2021,0.5882352941176471,Patriots
2022,0.47058823529411764,Patriots
2023,0.23529411764705882,Patriots
2024,0.23529411764705882,Patriots
2013,0.6875,Saints
2014,0.4375,Saints
2015,0.4375,Saints
2016,0.4375,Saints
2017,0.6875,Saints
2018,0.8125,Saints
2019,0.8125,Saints
2020,0.75,Saints
2021,0.5294117647058824,Saints
2022,0.4117647058823529,Saints
2023,0.5294117647058824,Saints
2024,0.29411764705882354,Saints
2013,0.4375,Giants
2014,0.375,Giants
2015,0.375,Giants
2016,0.6875,Giants
2017,0.1875,Giants
2018,0.3125,Giants
2019,0.25,Giants
2020,0.375,Giants
2021,0.23529411764705882,Giants
2022,0.5588235294117647,Giants
2023,0.35294117647058826,Giants
2024,0.17647058823529413,Giants
2013,0.5,Jets
2014,0.25,Jets
2015,0.625,Jets
2016,0.3125,Jets
2017,0.3125,Jets
2018,0.25,Jets
2019,0.4375,Jets
2020,0.125,Jets
2021,0.23529411764705882,Jets
2022,0.4117647058823529,Jets
2023,0.4117647058823529,Jets
2024,0.29411764705882354,Jets
2013,0.25,Raiders
2014,0.1875,Raiders
2015,0.4375,Raiders
2016,0.75,Raiders
2017,0.375,Raiders
2018,0.25,Raiders
2019,0.4375,Raiders
2013,0.625,Eagles
2014,0.625,Eagles
2015,0.4375,Eagles
2016,0.4375,Eagles
2017,0.8125,Eagles
2018,0.5625,Eagles
2019,0.5625,Eagles
2020,0.28125,Eagles
2021,0.5294117647058824,Eagles
2022,0.8235294117647058,Eagles
2023,0.6470588235294118,Eagles
2024,0.8235294117647058,Eagles
2013,0.5,Steelers
2014,0.6875,Steelers
2015,0.625,Steelers
2016,0.6875,Steelers
2017,0.8125,Steelers
2018,0.59375,Steelers
2019,0.5,Steelers
2020,0.75,Steelers
2021,0.5588235294117647,Steelers
2022,0.5294117647058824,Steelers
2023,0.5882352941176471,Steelers
2024,0.5882352941176471,Steelers
2013,0.5625,Chargers
2014,0.5625,Chargers
2015,0.25,Chargers
2016,0.3125,Chargers
2013,0.8125,Seahawks
2014,0.75,Seahawks
2015,0.625,Seahawks
2016,0.65625,Seahawks
2017,0.5625,Seahawks
2018,0.625,Seahawks
2019,0.6875,Seahawks
2020,0.75,Seahawks
2021,0.4117647058823529,Seahawks
2022,0.5294117647058824,Seahawks
2023,0.5294117647058824,Seahawks
2024,0.5882352941176471,Seahawks
2013,0.75,49ers
2014,0.5,49ers
2015,0.3125,49ers
2016,0.125,49ers
2017,0.375,49ers
2018,0.25,49ers
2019,0.8125,49ers
2020,0.375,49ers
2021,0.5882352941176471,49ers
2022,0.7647058823529411,49ers
2023,0.7058823529411765,49ers
2024,0.35294117647058826,49ers
2013,0.4375,Rams
2014,0.375,Rams
2015,0.4375,Rams
2013,0.25,Buccaneers
2014,0.125,Buccaneers
2015,0.375,Buccaneers
2016,0.5625,Buccaneers
2017,0.3125,Buccaneers
2018,0.3125,Buccaneers
2019,0.4375,Buccaneers
2020,0.6875,Buccaneers
2021,0.7647058823529411,Buccaneers
2022,0.47058823529411764,Buccaneers
2023,0.5294117647058824,Buccaneers
2024,0.5882352941176471,Buccaneers
2013,0.4375,Titans
2014,0.125,Titans
2015,0.1875,Titans
2016,0.5625,Titans
2017,0.5625,Titans
2018,0.5625,Titans
2019,0.5625,Titans
2020,0.6875,Titans
2021,0.7058823529411765,Titans
2022,0.4117647058823529,Titans
2023,0.35294117647058826,Titans
2024,0.17647058823529413,Titans
2013,0.1875,Commanders
2014,0.25,Commanders
2015,0.5625,Commanders
2016,0.53125,Commanders
2017,0.4375,Commanders
2018,0.4375,Commanders
2019,0.1875,Commanders
2020,0.4375,Commanders
2021,0.4117647058823529,Commanders
2022,0.5,Commanders
2023,0.23529411764705882,Commanders
2024,0.7058823529411765,Commanders
